evals,trace
1.120000000000000000e+02,9.255155843599185417e-01
1.130000000000000000e+02,9.256108763832312514e-01
1.140000000000000000e+02,9.256019177089270800e-01
1.150000000000000000e+02,9.255214326584406681e-01
1.160000000000000000e+02,9.255408533842385266e-01
1.170000000000000000e+02,9.255609356988908631e-01
1.180000000000000000e+02,9.255346742490599965e-01
1.190000000000000000e+02,9.255365757732278986e-01
1.200000000000000000e+02,9.256188596684767900e-01
1.210000000000000000e+02,9.255880350780617549e-01
1.220000000000000000e+02,9.256024736087528071e-01
1.230000000000000000e+02,9.255900529832647994e-01
1.240000000000000000e+02,9.255890914549373960e-01
1.250000000000000000e+02,9.255716202062467257e-01
1.260000000000000000e+02,9.255823436313478370e-01
1.270000000000000000e+02,9.255496826018417833e-01
1.280000000000000000e+02,9.255976280873756679e-01
1.290000000000000000e+02,9.256094248712256611e-01
1.300000000000000000e+02,9.256157243627326503e-01
1.310000000000000000e+02,9.257506389715377537e-01
1.320000000000000000e+02,9.256162069702766892e-01
1.330000000000000000e+02,9.256055742089457361e-01
1.340000000000000000e+02,9.255700088365638178e-01
1.350000000000000000e+02,9.255936187990974062e-01
1.360000000000000000e+02,9.255760459658035622e-01
1.370000000000000000e+02,9.256116785512350509e-01
1.380000000000000000e+02,9.255988939649223424e-01
1.390000000000000000e+02,9.256136083782728896e-01
1.400000000000000000e+02,9.256132596530851631e-01
1.410000000000000000e+02,9.256130483671305420e-01
1.420000000000000000e+02,9.256146040004417097e-01
1.430000000000000000e+02,9.256190831331801983e-01
1.440000000000000000e+02,9.256137983404792990e-01
1.450000000000000000e+02,9.256231430273742511e-01
1.460000000000000000e+02,9.256142872140631361e-01
1.470000000000000000e+02,9.256078997127928920e-01
1.480000000000000000e+02,9.256172202532704230e-01
1.490000000000000000e+02,9.256097677335050067e-01
1.500000000000000000e+02,9.256129845605441941e-01
1.510000000000000000e+02,9.256043337220831724e-01
1.520000000000000000e+02,9.256156524788257123e-01
1.530000000000000000e+02,9.256071048358746056e-01
1.540000000000000000e+02,9.256124507331008333e-01
1.550000000000000000e+02,9.256082628004521640e-01
1.560000000000000000e+02,9.256130685030217187e-01
1.570000000000000000e+02,9.256088328241633967e-01
1.580000000000000000e+02,9.256140071152277882e-01
1.590000000000000000e+02,9.256145976223191241e-01
1.600000000000000000e+02,9.256090854223171238e-01
