evals,trace
2.740000000000000000e+02,9.998282258534731959e-01
2.760000000000000000e+02,9.991790133603610791e-01
2.780000000000000000e+02,9.967034040841730169e-01
2.800000000000000000e+02,9.959220860882281867e-01
2.820000000000000000e+02,9.993424771652096306e-01
2.840000000000000000e+02,9.978626804907551051e-01
2.860000000000000000e+02,9.976213822612856053e-01
2.880000000000000000e+02,9.966272247941329043e-01
2.900000000000000000e+02,9.999801125578170469e-01
2.920000000000000000e+02,9.997174165765448928e-01
2.940000000000000000e+02,9.779776595946183537e-01
2.960000000000000000e+02,9.783045437326517435e-01
2.980000000000000000e+02,9.810616320783638322e-01
3.000000000000000000e+02,9.821880829371009147e-01
3.020000000000000000e+02,9.704973712679914044e-01
3.040000000000000000e+02,9.741023749936091880e-01
3.060000000000000000e+02,9.682806496256052275e-01
3.080000000000000000e+02,9.934106303856709008e-01
3.100000000000000000e+02,9.399495331656192443e-01
3.120000000000000000e+02,9.530481598144591171e-01
3.140000000000000000e+02,9.699197330705149334e-01
3.160000000000000000e+02,9.808420894468700135e-01
3.180000000000000000e+02,9.888334401558430686e-01
3.200000000000000000e+02,9.812893538446842978e-01
3.220000000000000000e+02,9.489813319625026722e-01
3.240000000000000000e+02,9.448721187308901648e-01
3.260000000000000000e+02,9.444832942074125048e-01
3.280000000000000000e+02,9.811506845910771268e-01
3.300000000000000000e+02,9.967274365760470101e-01
3.320000000000000000e+02,9.973167367005919548e-01
3.340000000000000000e+02,9.982266786973450490e-01
3.360000000000000000e+02,9.969282195515160039e-01
3.380000000000000000e+02,9.992080986150373434e-01
3.400000000000000000e+02,9.991615078423832230e-01
3.420000000000000000e+02,9.956433537300235503e-01
3.440000000000000000e+02,9.763466308780495151e-01
3.460000000000000000e+02,9.735299409370147261e-01
3.480000000000000000e+02,9.712637242815481686e-01
3.500000000000000000e+02,9.732011055959105539e-01
3.520000000000000000e+02,9.722085625422299815e-01
3.540000000000000000e+02,9.683705228666973364e-01
3.560000000000000000e+02,9.231791477422379710e-01
3.580000000000000000e+02,9.272128232949893301e-01
3.600000000000000000e+02,9.386632419457858756e-01
3.620000000000000000e+02,9.395341593429117344e-01
3.640000000000000000e+02,9.500673611433704258e-01
3.660000000000000000e+02,9.546762198957536860e-01
3.680000000000000000e+02,9.549674199202267122e-01
3.700000000000000000e+02,9.546563980192300791e-01
3.720000000000000000e+02,9.545933558075743175e-01
3.740000000000000000e+02,9.375439623097243658e-01
3.760000000000000000e+02,9.337970715024002111e-01
